rank,title,singer,album,date,like
71,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬,2024.01.01.01,27279
72,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2024.01.01.01,265321
73,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN,2024.01.01.01,122400
74,모래 알갱이,임영웅,모래 알갱이,2024.01.01.01,59564
75,I Love My Body,화사 (HWASA),I Love My Body,2024.01.01.01,34652
76,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,2024.01.01.01,262712
77,다시 만날 수 있을까,임영웅,IM HERO,2024.01.01.01,84925
78,봄날,방탄소년단,YOU NEVER WALK ALONE,2024.01.01.01,561706
79,예뻤어,DAY6 (데이식스),Every DAY6 February,2024.01.01.01,301222
80,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.01.01.01,174425
81,Butter,방탄소년단,Butter,2024.01.01.01,296563
82,무지개,임영웅,IM HERO,2024.01.01.01,74103
83,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2,2024.01.01.01,33824
84,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2024.01.01.01,171262
85,아버지,임영웅,IM HERO,2024.01.01.01,59517
86,London Boy,임영웅,Polaroid,2024.01.01.01,60778
87,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom],2024.01.01.01,109937
88,Summer (Feat. BE’O (비오)),Paul Blanco,Summer,2024.01.01.01,133867
89,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.01.01.01,283178
90,Polaroid,임영웅,Polaroid,2024.01.01.01,54686
91,인생찬가,임영웅,IM HERO,2024.01.01.01,54561
92,숲,최유리,유영,2024.01.01.01,113667
93,3D (feat. Jack Harlow),"정국, Jack Harlow",3D (feat. Jack Harlow),2024.01.01.01,59980
94,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2024.01.01.01,236566
95,어른,Sondia,나의 아저씨 OST Part.2,2024.01.01.01,245738
96,Merry PLLIstmas,PLAVE,Merry PLLIstmas,2024.01.01.01,31234
97,꽃,지수 (JISOO),ME,2024.01.01.01,123506
98,A bientot,임영웅,IM HERO,2024.01.01.01,55639
99,Yes or No,정국,GOLDEN,2024.01.01.01,38696
100,희재,성시경,국화꽃 향기 OST,2024.01.01.01,161671
1,비의 랩소디,임재현,비의 랩소디,2024.01.08.02,68931
2,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,2024.01.08.02,114191
3,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,2024.01.08.02,143931
4,Drama,aespa,Drama - The 4th Mini Album,2024.01.08.02,85818
5,헤어지자 말해요,박재정,1집 Alone,2024.01.08.02,169714
6,인사,범진,인사,2024.01.08.02,107860
7,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.08.02,287040
8,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2024.01.08.02,98248
9,Baddie,IVE (아이브),I'VE MINE,2024.01.08.02,68660
10,에피소드,이무진,에피소드,2024.01.08.02,68436
11,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2024.01.08.02,208123
12,Love Lee,AKMU (악뮤),Love Lee,2024.01.08.02,121202
13,I AM,IVE (아이브),I've IVE,2024.01.08.02,213131
14,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],2024.01.08.02,69423
15,후라이의 꿈,AKMU (악뮤),Love Lee,2024.01.08.02,125291
16,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.08.02,162158
17,Ditto,NewJeans,NewJeans 'OMG',2024.01.08.02,281588
18,Get A Guitar,RIIZE,Get A Guitar,2024.01.08.02,90308
19,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2024.01.08.02,85750
20,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.01.08.02,295879
